,Ticker,Year,Unnamed: 0,index,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred,Weak Modal_Pred,Strong Modal_Pred
36,BBCA,2021,25505343,34528847,0.45334370139968894,0.07776049766718507,0.2161741835147745,0.005443234836702955,0.0,0.0,0.24727838258164853,120.0,120.0
37,BBCA,2022,23087354,31338511,0.3883817427385892,0.07800829875518672,0.24896265560165975,0.0033195020746887966,0.0,0.0,0.2813278008298755,143.0,121.0
38,BBCA,2023,18762646,25542870,0.3715798764342454,0.06796116504854369,0.25419240953221534,0.00441306266548985,0.0,0.0,0.30185348631950576,105.0,117.0
39,BBNI,2019,46903080,64029744,0.6605839416058394,0.051094890510948905,0.13722627737226278,0.00948905109489051,0.0,0.0,0.1416058394160584,144.0,112.0
40,BBNI,2020,46058721,62785647,0.5822704081632653,0.08673469387755102,0.1683673469387755,0.00701530612244898,0.0,0.0,0.1556122448979592,232.0,122.0
41,BBNI,2021,46584924,63278932,0.631547619047619,0.07380952380952381,0.15178571428571427,0.005357142857142857,0.0,0.0,0.1375,216.0,152.0
42,BBNI,2022,48102051,65005533,0.6870523415977962,0.05399449035812672,0.10909090909090909,0.006060606060606061,0.0,0.0,0.14380165289256197,233.0,186.0
43,BBNI,2023,34041807,45834861,0.5963114754098361,0.06762295081967214,0.1413934426229508,0.0047814207650273225,0.0,0.0,0.18989071038251365,199.0,208.0
44,BBRI,2019,61665752,84782030,0.7050623624358033,0.025678650036683785,0.1012472487160675,0.007336757153338224,0.0,0.0,0.16067498165810712,158.0,141.0
45,BBRI,2020,75845323,103872643,0.6506159014557671,0.06270996640537514,0.11590145576707726,0.005599104143337066,0.0,0.0,0.16517357222844345,207.0,224.0
46,BBRI,2021,66327497,90453462,0.5095419847328244,0.07251908396946564,0.21628498727735368,0.003816793893129771,0.0,0.0,0.19783715012722647,188.0,131.0
47,BBRI,2022,73700215,100468520,0.5436681222707423,0.08078602620087336,0.19814410480349345,0.0027292576419213972,0.0,0.0,0.17467248908296942,195.0,156.0
48,BBRI,2023,68168580,92940270,0.5666666666666667,0.06666666666666667,0.18855721393034827,0.0014925373134328358,0.0,0.0,0.17661691542288557,238.0,195.0
49,BMRI,2019,92916668,128101745,0.37794216543375925,0.11970410221923336,0.1956960322797579,0.011432414256893073,0.0,0.0,0.2952252858103564,154.0,196.0
50,BMRI,2020,146452635,201825254,0.20586182833217026,0.09665038381018842,0.2847173761339846,0.026866713189113746,0.0,0.0,0.3859036985345429,286.0,345.0
51,BMRI,2021,88093369,121223452,0.4985268120212139,0.07307012374779022,0.17265763111373011,0.0041249263406010605,0.0,0.0,0.2516205067766647,171.0,195.0
52,BMRI,2022,76977516,105809547,0.6313775510204082,0.0663265306122449,0.1364795918367347,0.0012755102040816326,0.0,0.0,0.16454081632653061,157.0,115.0
53,BMRI,2023,70253787,96628834,0.6862091938707529,0.061958694203864094,0.10326449033977349,0.0013324450366422385,0.0,0.0,0.14723517654896737,170.0,151.0
54,BRPT,2019,6433472,8877783,0.4946236559139785,0.21505376344086022,0.1827956989247312,0.0,0.0,0.0,0.10752688172043011,10.0,4.0
